target_id	length	eff_length	est_counts	tpm
ENST00000619216.1	68	31.1765	1	1.78793
ENST00000473358.1	712	507.429	0	0
ENST00000469289.1	535	330.586	0	0
ENST00000607096.1	138	26.8759	0	0
ENST00000417324.1	1187	982.429	0	0
ENST00000461467.1	590	385.473	0.50489	0.0730093
ENST00000335137.3	918	713.429	0	0
ENST00000466430.5	2748	2543.43	151.923	3.32952
ENST00000495576.1	1319	1114.43	3.80135	0.190135
ENST00000477740.5	491	286.837	0	0
ENST00000471248.1	629	424.473	0	0
ENST00000610542.1	723	518.429	0	0
ENST00000453576.2	336	136.582	0	0
ENST00000493797.1	323	125.027	0	0
ENST00000484859.1	4860	4655.43	13.4035	0.160485
ENST00000490997.5	518	313.808	0	0
ENST00000466557.6	1301	1096.43	15.7856	0.80252
ENST00000410691.1	104	17.8881	0.0833333	0.259675
ENST00000496488.1	457	253.024	0	0
ENST00000491962.1	278	88.6996	4.68417	2.94366
ENST00000624431.1	718	513.429	5	0.542833
ENST00000623834.3	1374	1169.43	68.2257	3.252
ENST00000623083.3	1687	1482.43	1204.54	45.2921
ENST00000624735.1	1604	1399.43	35.2188	1.40281
ENST00000612080.1	68	31.1765	1	1.78793
ENST00000611868.1	138	26.8759	0	0
ENST00000442116.1	1292	1087.43	275.303	14.1119
ENST00000448958.1	1925	1720.43	0	0
ENST00000424587.6	2257	2052.43	14.5472	0.395083
ENST00000335577.4	510	305.808	0	0
ENST00000441866.1	676	471.429	0	0
ENST00000450983.1	607	402.473	0	0
ENST00000412666.1	426	222.282	0	0
ENST00000431321.1	406	202.724	0	0
ENST00000453935.1	498	293.808	2.52832	0.479673
ENST00000440163.1	462	258.024	20.3399	4.39404
ENST00000455207.5	413	209.539	0	0
ENST00000426406.2	939	734.429	0	0
ENST00000455464.6	735	530.429	1.00642	0.105762
ENST00000613471.1	723	518.429	0	0
ENST00000601814.5	635	430.473	1	0.129488
ENST00000431812.1	336	136.582	0	0
ENST00000419160.3	607	402.473	1	0.138497
ENST00000440038.6	746	541.429	0	0
ENST00000423728.5	573	368.55	5.31108	0.803273
ENST00000599771.6	457	253.024	39.6871	8.74306
ENST00000601486.5	696	491.429	0	0
ENST00000616947.2	603	398.473	0	0
ENST00000616311.4	372	169.725	0	0
ENST00000432964.1	575	370.55	0.00529317	0.000796243
ENST00000608420.1	438	234.169	4.00205	0.952641
ENST00000614007.1	104	17.8881	0.0833333	0.259675
ENST00000417636.1	842	637.429	2.532	0.221415
ENST00000423796.1	607	402.473	0	0
ENST00000450696.1	402	198.764	0	0
ENST00000440196.2	439	235.146	0	0
ENST00000357876.5	498	293.808	0	0
ENST00000440200.5	413	209.539	4.66014	1.23968
ENST00000452176.1	802	597.429	0	0
ENST00000617238.1	63	32.1071	1	1.7361
ENST00000621981.1	89	15.2821	0	0
ENST00000332831.3	939	734.429	0	0
ENST00000441245.5	629	424.473	0	0
ENST00000419394.1	480	275.893	0	0
ENST00000414688.5	750	545.429	0	0
ENST00000616585.1	723	518.429	0	0
ENST00000447954.1	336	136.582	0	0
ENST00000416385.1	4860	4655.43	11.4978	0.137667
ENST00000411249.1	104	17.8881	0	0
ENST00000417659.1	295	101.624	1.85897	1.01966
ENST00000422528.1	456	252.024	0	0
ENST00000428504.1	1317	1112.43	21.181	1.06133
ENST00000434264.6	844	639.429	10.0833	0.878994
ENST00000457084.1	566	361.586	133.606	20.5964
ENST00000589899.5	809	604.429	7.55138	0.696398
ENST00000609830.1	669	464.429	14.933	1.79227
ENST00000429505.5	441	237.122	0	0
ENST00000585826.1	390	187.094	0	0
ENST00000592547.1	608	403.473	1.08703	0.150177
ENST00000586928.5	598	393.473	0	0
ENST00000585745.5	168	34.8916	1	1.59756
ENST00000585768.5	394	190.999	2.12042	0.618825
ENST00000590848.5	726	521.429	1	0.106901
ENST00000591440.5	780	575.429	0	0
ENST00000587530.5	1024	819.429	2	0.136049
ENST00000593022.5	693	488.429	2	0.228247
ENST00000589531.5	714	509.429	0	0
ENST00000588951.5	607	402.473	0	0
ENST00000586288.1	1040	835.429	0	0
ENST00000591702.1	1873	1668.43	15	0.501141
ENST00000443772.1	417	213.433	0	0
ENST00000412115.1	581	376.55	2	0.296063
ENST00000326734.2	1947	1742.43	3	0.0959715
ENST00000624927.3	677	472.429	0	0
ENST00000473798.1	1317	1112.43	47.5952	2.38488
ENST00000623808.3	493	288.808	0	0
ENST00000445118.6	6606	6401.43	2111.39	18.3851
ENST00000448975.6	633	428.473	3.35215	0.43609
ENST00000610067.5	550	345.586	21.637	3.48994
ENST00000608189.4	824	619.429	8.26917	0.744126
ENST00000441765.5	750	545.429	43.3658	4.43186
ENST00000609139.5	455	251.049	34.4075	7.63959
ENST00000449005.5	874	669.429	544.225	45.3159
ENST00000416570.5	612	407.473	0	0
ENST00000623070.3	494	289.808	80.8832	15.5569
ENST00000609009.5	767	562.429	31.7585	3.14752
ENST00000622921.1	724	519.429	44.9062	4.81899
ENST00000415295.1	894	689.429	44.0502	3.56151
ENST00000425657.1	845	640.429	13.759	1.19755
ENST00000446136.1	1807	1602.43	9.06568	0.315354
ENST00000432963.1	504	299.808	3.30385	0.61426
ENST00000427857.1	446	242.074	7.63047	1.75703
ENST00000607769.1	351	150.188	5	1.85571
ENST00000448179.1	3043	2838.43	94	1.84598
ENST00000398216.2	443	239.074	0	0
ENST00000609207.1	4152	3947.43	40.4227	0.570805
ENST00000417705.1	1389	1184.43	2.57725	0.12129
ENST00000432961.1	630	425.473	0	0
ENST00000420190.5	626	421.473	26.1494	3.45834
ENST00000437963.5	387	184.243	5.31244	1.60723
ENST00000342066.7	2551	2346.43	50.655	1.20335
ENST00000616016.4	2391	2186.43	63.2002	1.61124
ENST00000616125.4	2230	2025.43	30.0153	0.826042
ENST00000617307.4	2314	2109.43	0	0
ENST00000618181.4	2179	1974.43	0	0
ENST00000618323.4	2159	1954.43	0	0
ENST00000618779.4	2368	2163.43	0	0
ENST00000620200.4	1874	1669.43	0	0
ENST00000622503.4	2557	2352.43	43.2295	1.02433
ENST00000341065.8	2191	1986.43	106.074	2.97654
ENST00000455979.1	1731	1526.43	44.3479	1.61947
ENST00000478729.1	318	120.756	1.22223	0.56418
ENST00000474461.1	862	657.429	2.69416	0.228429
ENST00000466827.1	542	337.586	8.97993	1.48274
ENST00000464948.1	657	452.429	0	0
ENST00000483767.5	1611	1406.43	464.307	18.4019
ENST00000327044.6	2790	2585.43	3893.03	83.9327
ENST00000477976.5	4201	3996.43	153.484	2.14075
ENST00000496938.1	149	30.1734	2	3.69472
ENST00000487214.1	865	660.429	6.11821	0.516386
ENST00000469563.1	878	673.429	8.08228	0.668988
ENST00000338591.7	2560	2355.43	169.328	4.00715
ENST00000622660.1	1950	1745.43	29.6898	0.94816
ENST00000463212.1	955	750.429	22.807	1.69408
ENST00000466300.1	913	708.429	17.175	1.35137
ENST00000481067.1	515	310.808	3	0.538028
ENST00000617073.1	57	30.7917	0	0
ENST00000379410.7	2404	2199.43	108.684	2.75444
ENST00000379407.7	2194	1989.43	78.1582	2.18989
ENST00000379409.6	2455	2250.43	122.311	3.02954
ENST00000480267.1	464	259.947	0	0
ENST00000491024.1	698	493.429	6.01328	0.679302
ENST00000341290.6	3035	2830.43	205.633	4.04965
